Locus	Representative_gene_model	Symbol	Q_val_up	Description
AT1G04400	AT1G04400.2	AT-PHH1	0.593546	cryptochrome 2
AT1G04410	AT1G04410.1	c-NAD-MDH1	1	Lactate/malate dehydrogenase family protein
AT1G04420	AT1G04420.1	""	7.7e-05	NAD(P)-linked oxidoreductase superfamily protein
AT1G04430	AT1G04430.1	""	1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT1G04440	AT1G04440.1	CKL13	0.527668	casein kinase like 13
AT1G04445	AT1G04445.1	""	NA	C2H2-like zinc finger protein
AT1G04450	AT1G04450.1	RIC3	NA	ROP-interactive CRIB motif-containing protein 3
AT1G04470	AT1G04470.1	""	NA	hypothetical protein (DUF810)
AT1G04480	AT1G04480.1	""	0.414237	Ribosomal protein L14p/L23e family protein
AT1G04490	AT1G04490.1	""	1	hypothetical protein (DUF3527)
AT1G04500	AT1G04500.1	""	NA	CCT motif family protein
AT1G04510	AT1G04510.1	MAC3A	0.002519	MOS4-associated complex 3A
AT1G04520	AT1G04520.1	PDLP2	NA	plasmodesmata-located protein 2
AT1G04530	AT1G04530.1	TPR4	1	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G04540	AT1G04540.1	""	NA	Calcium-dependent lipid-binding (CaLB domain) family protein
AT1G04550	AT1G04550.2	BDL	0.075067	AUX/IAA transcriptional regulator family protein
AT1G04555	AT1G04555.1	""	NA	transmembrane protein
AT1G04560	AT1G04560.1	""	1	AWPM-19-like family protein
AT1G04570	AT1G04570.1	""	NA	Major facilitator superfamily protein
AT1G04580	AT1G04580.1	AAO4	NA	aldehyde oxidase 4
AT1G04590	AT1G04590.2	""	1	PPR containing-like protein
AT1G04600	AT1G04600.1	ATXIA	NA	myosin XI A
AT1G04610	AT1G04610.1	YUC3	NA	YUCCA 3
AT1G04620	AT1G04620.1	HCAR	0.0022	coenzyme F420 hydrogenase family / dehydrogenase, beta subunit family
AT1G04625	AT1G04625.1	""	NA	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
AT1G04630	AT1G04630.1	MEE4	0.107944	GRIM-19 protein
AT1G04635	AT1G04635.1	AtPOP5	NA	ribonuclease P family protein / Rpp14 family protein
AT1G04640	AT1G04640.1	LIP2	1	lipoyltransferase 2
AT1G04645	AT1G04645.1	""	NA	Plant self-incompatibility protein S1 family
AT1G04650	AT1G04650.1	FLIP	NA	holliday junction resolvase
AT1G04660	AT1G04660.1	""	NA	glycine-rich protein
AT1G04670	AT1G04670.1	""	NA	hypothetical protein
AT1G04680	AT1G04680.1	""	NA	Pectin lyase-like superfamily protein
AT1G04690	AT1G04690.1	KAB1	1	potassium channel beta subunit 1
AT1G04700	AT1G04700.1	""	NA	PB1 domain-containing protein tyrosine kinase
AT1G04710	AT1G04710.1	KAT1	1	peroxisomal 3-ketoacyl-CoA thiolase 4
AT1G04730	AT1G04730.1	CTF18	1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G04750	AT1G04750.1	AT VAMP7B	7.7e-05	vesicle-associated membrane protein 721
AT1G04760	AT1G04760.1	ATVAMP726	NA	vesicle-associated membrane protein 726
AT1G04770	AT1G04770.1	SD!2	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G04778	AT1G04778.1	""	NA	hypothetical protein
AT1G04780	AT1G04780.1	""	NA	Ankyrin repeat family protein
AT1G04790	AT1G04790.1	""	0.94458	RING/U-box superfamily protein
AT1G04800	AT1G04800.1	""	NA	glycine-rich protein
AT1G04810	AT1G04810.1	""	NA	26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit
AT1G04820	AT1G04820.1	TOR2	NA	tubulin alpha-4 chain
AT1G04830	AT1G04830.2	""	0.312314	Ypt/Rab-GAP domain of gyp1p superfamily protein
AT1G04840	AT1G04840.1	""	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G04850	AT1G04850.1	""	1	ubiquitin-associated (UBA)/TS-N domain-containing protein
AT1G04860	AT1G04860.1	ATUBP2	1	ubiquitin-specific protease 2
AT1G04870	AT1G04870.2	ATPRMT10	1	protein arginine methyltransferase 10
AT1G04880	AT1G04880.1	AtHMGB15	NA	HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain-containing protein
AT1G04890	AT1G04890.1	""	NA	zein-binding protein (Protein of unknown function, DUF593)
AT1G04900	AT1G04900.1	""	0.486307	NADH dehydrogenase ubiquinone complex I, assembly factor-like protein (DUF185)
AT1G04910	AT1G04910.1	""	0.005315	O-fucosyltransferase family protein
AT1G04920	AT1G04920.1	ATSPS3F	NA	sucrose phosphate synthase 3F
AT1G04930	AT1G04930.2	""	1	hydroxyproline-rich glycoprotein family protein
AT1G04940	AT1G04940.1	atTIC20	1	translocon at the inner envelope membrane of chloroplasts 20
AT1G04945	AT1G04945.3	""	0.474447	HIT-type Zinc finger family protein
AT1G04950	AT1G04950.1	ATTAF6	1	TATA BOX ASSOCIATED FACTOR II 59
AT1G04960	AT1G04960.2	""	0.536375	golgin family A protein (DUF1664)
AT1G04970	AT1G04970.1	LBR-1	7.7e-05	lipid-binding serum glycoprotein family protein
AT1G04980	AT1G04980.1	ATPDI10	NA	PDI-like 2-2
AT1G04985	AT1G04985.1	""	0.148976	triacylglycerol lipase-like protein
AT1G04990	AT1G04990.2	""	1	Zinc finger C-x8-C-x5-C-x3-H type family protein
AT1G05000	AT1G05000.2	AtPFA-DSP1	1	Phosphotyrosine protein phosphatases superfamily protein
AT1G05010	AT1G05010.1	ACO4	NA	ethylene-forming enzyme
AT1G05020	AT1G05020.1	AP180	NA	ENTH/ANTH/VHS superfamily protein
AT1G05030	AT1G05030.1	""	0.49196	Major facilitator superfamily protein
AT1G05040	AT1G05040.1	""	NA	UBA-like domain protein
AT1G05055	AT1G05055.1	ATGTF2H2	1	general transcription factor II H2
AT1G05060	AT1G05060.1	""	1	coiled-coil protein
AT1G05065	AT1G05065.1	CLE20	NA	CLAVATA3/ESR-RELATED 20
AT1G05070	AT1G05070.1	""	1	transmembrane protein, putative (DUF1068)
AT1G05080	AT1G05080.1	""	NA	F-box/RNI-like/FBD-like domains-containing protein
AT1G05085	AT1G05085.1	""	NA	hypothetical protein
AT1G05090	AT1G05090.1	""	1	dentin sialophosphoprotein-like protein
AT1G05100	AT1G05100.1	MAPKKK18	NA	mitogen-activated protein kinase kinase kinase 18
AT1G05120	AT1G05120.1	""	1	Helicase protein with RING/U-box domain-containing protein
AT1G05136	AT1G05136.1	""	NA	hypothetical protein
AT1G05140	AT1G05140.1	""	NA	Peptidase M50 family protein
AT1G05150	AT1G05150.1	""	NA	Calcium-binding tetratricopeptide family protein
AT1G05160	AT1G05160.1	ATKAO1	1	cytochrome P450, family 88, subfamily A, polypeptide 3
AT1G05170	AT1G05170.2	""	1	Galactosyltransferase family protein
AT1G05180	AT1G05180.1	AXR1	1	NAD(P)-binding Rossmann-fold superfamily protein
AT1G05190	AT1G05190.1	EMB2394	1	Ribosomal protein L6 family
AT1G05200	AT1G05200.1	ATGLR3.4	0.878593	glutamate receptor 3.4
AT1G05205	AT1G05205.1	""	0.086342	hexokinase-1 protein
AT1G05210	AT1G05210.1	""	NA	Transmembrane protein 97, Putative
AT1G05220	AT1G05220.1	""	1	Transmembrane protein 97, Putative
AT1G05230	AT1G05230.1	HDG2	0.982723	homeodomain GLABROUS 2
AT1G05240	AT1G05240.1	PR9	NA	Peroxidase superfamily protein
AT1G05250	AT1G05250.1	AtPRX1	NA	Peroxidase superfamily protein
AT1G05260	AT1G05260.1	RCI3	NA	Peroxidase superfamily protein
AT1G05270	AT1G05270.1	""	1	TraB family protein
AT1G05280	AT1G05280.1	""	NA	ERV-F (C)1 provirus ancestral Env polyprotein, putative (DUF604)
AT1G05290	AT1G05290.1	""	NA	CCT motif family protein
AT1G05291	AT1G05291.1	""	NA	GPI inositol-deacylase C, putative (DUF1218)
AT1G05300	AT1G05300.1	ZIP5	1	zinc transporter 5 precursor
AT1G05310	AT1G05310.1	""	NA	Pectin lyase-like superfamily protein
AT1G05320	AT1G05320.1	""	1	myosin heavy chain, embryonic smooth protein
AT1G05330	AT1G05330.1	""	NA	hypothetical protein
AT1G05340	AT1G05340.1	AthCYSTM1	NA	cysteine-rich TM module stress tolerance protein
AT1G05350	AT1G05350.1	""	0.235021	NAD(P)-binding Rossmann-fold superfamily protein
AT1G05360	AT1G05360.1	KMS2	NA	vacuole membrane-like protein
AT1G05370	AT1G05370.1	""	NA	Sec14p-like phosphatidylinositol transfer family protein
AT1G05380	AT1G05380.1	""	1	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein
AT1G05385	AT1G05385.1	LPA19	NA	photosystem II 11 kDa protein-like protein
AT1G05400	AT1G05400.1	""	1	hypothetical protein
AT1G05410	AT1G05410.1	""	1	CDPK adapter, putative (DUF1423)
AT1G05420	AT1G05420.1	ATOFP12	NA	ovate family protein 12
AT1G05430	AT1G05430.1	""	1	hypothetical protein
AT1G05440	AT1G05440.1	""	NA	C-8 sterol isomerase
AT1G05450	AT1G05450.2	""	NA	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT1G05460	AT1G05460.1	SDE3	1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G05470	AT1G05470.1	CVP2	NA	DNAse I-like superfamily protein
AT1G05490	AT1G05490.1	chr31	NA	chromatin remodeling 31
AT1G05500	AT1G05500.1	ATSYTE	1	Calcium-dependent lipid-binding (CaLB domain) family protein
AT1G05510	AT1G05510.1	OBAP1a	NA	naphthalene 1,2-dioxygenase subunit alpha (DUF1264)
AT1G05520	AT1G05520.1	AtSEC23B	1	Sec23/Sec24 protein transport family protein
AT1G05530	AT1G05530.1	UGT2	NA	UDP-glucosyl transferase 75B2
AT1G05540	AT1G05540.1	""	1	hypothetical protein (DUF295)
AT1G05550	AT1G05550.3	""	NA	hypothetical protein (DUF295)
AT1G05560	AT1G05560.1	UGT1	NA	UDP-glucosyltransferase 75B1
AT1G05570	AT1G05570.1	ATGSL06	0.288891	callose synthase 1
AT1G05575	AT1G05575.1	""	NA	transmembrane protein
AT1G05577	AT1G05577.1	""	1	UPSTREAM OF FLC protein (DUF966)
AT1G05580	AT1G05580.1	ATCHX23	NA	cation/H+ exchanger 23
AT1G05590	AT1G05590.1	ATHEX3	1	beta-hexosaminidase 2
AT1G05600	AT1G05600.1	EMB3101	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G05610	AT1G05610.1	APS2	NA	ADP-glucose pyrophosphorylase small subunit 2
AT1G05615	AT1G05615.1	""	NA	B3 domain protein (DUF313)
AT1G05620	AT1G05620.1	NSH2	0.177032	uridine-ribohydrolase 2
AT1G05630	AT1G05630.1	5PTASE13	1	Endonuclease/exonuclease/phosphatase family protein
AT1G05640	AT1G05640.1	""	1	Ankyrin repeat family protein
AT1G05650	AT1G05650.1	""	NA	Pectin lyase-like superfamily protein
AT1G05660	AT1G05660.1	""	NA	Pectin lyase-like superfamily protein
AT1G05670	AT1G05670.1	""	0.246405	Pentatricopeptide repeat (PPR-like) superfamily protein
AT1G05675	AT1G05675.1	""	NA	UDP-Glycosyltransferase superfamily protein
AT1G05680	AT1G05680.1	UGT74E2	NA	Uridine diphosphate glycosyltransferase 74E2
AT1G05690	AT1G05690.1	BT3	1	BTB and TAZ domain protein 3
AT1G05700	AT1G05700.1	""	1	Leucine-rich repeat transmembrane protein kinase protein
AT1G05710	AT1G05710.2	""	0.872255	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G05720	AT1G05720.1	""	NA	selenoprotein family protein
AT1G05730	AT1G05730.1	""	1	FAM136A-like protein (DUF842)
AT1G05740	AT1G05740.1	""	1	FAM136A-like protein (DUF842)
AT1G05750	AT1G05750.1	CLB19	1	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G05760	AT1G05760.1	RTM1	NA	Mannose-binding lectin superfamily protein
AT1G05770	AT1G05770.1	""	NA	Mannose-binding lectin superfamily protein
AT1G05780	AT1G05780.1	""	0.129446	Vacuolar ATPase assembly integral membrane protein VMA21-like domain-containing protein
AT1G05785	AT1G05785.1	""	1	Got1/Sft2-like vescicle transport protein family
AT1G05790	AT1G05790.1	""	0.523686	lipase class 3 family protein
AT1G05800	AT1G05800.1	DGL	NA	alpha/beta-Hydrolases superfamily protein
AT1G05805	AT1G05805.1	AKS2	1	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G05810	AT1G05810.1	ARA	NA	Rab GTPase-like A5A protein
AT1G05820	AT1G05820.1	ATSPPL5	1	SIGNAL PEPTIDE PEPTIDASE-LIKE 5
AT1G05830	AT1G05830.1	ATX2	0.064817	trithorax-like protein 2
AT1G05835	AT1G05835.1	""	NA	PHD finger protein
AT1G05840	AT1G05840.1	""	1	Eukaryotic aspartyl protease family protein
AT1G05850	AT1G05850.1	ATCTL1	NA	Chitinase family protein
AT1G05860	AT1G05860.1	""	1	INO80 complex subunit D-like protein
AT1G05870	AT1G05870.1	""	1	hypothetical protein (DUF1685)
AT1G05880	AT1G05880.2	ARI12	1	RING/U-box superfamily protein
AT1G05890	AT1G05890.2	ARI5	1	RING/U-box superfamily protein
AT1G05894	AT1G05894.1	""	NA	hypothetical protein
AT1G05900	AT1G05900.2	ATNTH2	0.412596	endonuclease III 2
AT1G05910	AT1G05910.1	BRAT1	0.789795	cell division cycle protein 48-related / CDC48-like protein
AT1G05920	AT1G05920.1	""	NA	B3 domain protein (DUF313)
AT1G05930	AT1G05930.1	""	NA	B3 domain protein (DUF313)
AT1G05940	AT1G05940.1	CAT9	1	cationic amino acid transporter 9
AT1G05950	AT1G05950.1	""	1	hypothetical protein
AT1G05960	AT1G05960.2	""	1	ARM repeat superfamily protein
AT1G05970	AT1G05970.2	AIPP1	1	RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G05990	AT1G05990.1	RHS1	NA	EF hand calcium-binding protein family
AT1G06000	AT1G06000.1	UGT89C1	NA	UDP-Glycosyltransferase superfamily protein
AT1G06010	AT1G06010.1	""	1	basic leucine zipper/W2 domain protein
AT1G06020	AT1G06020.1	FRK3	NA	pfkB-like carbohydrate kinase family protein
AT1G06030	AT1G06030.1	FRK2	NA	pfkB-like carbohydrate kinase family protein
AT1G06040	AT1G06040.1	BBX24	NA	B-box zinc finger family protein
AT1G06050	AT1G06050.1	""	1	ENHANCED DISEASE RESISTANCE-like protein (DUF1336)
AT1G06060	AT1G06060.1	""	NA	LisH and RanBPM domains containing protein
AT1G06070	AT1G06070.1	bZIP69	1	Basic-leucine zipper (bZIP) transcription factor family protein
AT1G06080	AT1G06080.1	ADS1	NA	delta 9 desaturase 1
AT1G06090	AT1G06090.1	""	NA	Fatty acid desaturase family protein
AT1G06100	AT1G06100.1	""	NA	Fatty acid desaturase family protein
AT1G06110	AT1G06110.1	SKIP16	NA	SKP1/ASK-interacting protein 16
AT1G06120	AT1G06120.1	""	NA	Fatty acid desaturase family protein
AT1G06130	AT1G06130.1	GLX2-4	1	glyoxalase 2-4
AT1G06135	AT1G06135.1	""	NA	transmembrane protein
AT1G06137	AT1G06137.1	""	NA	transmembrane protein
AT1G06140	AT1G06140.1	MEF3	NA	Pentatricopeptide repeat (PPR) superfamily protein
AT1G06148	AT1G06148.2	""	NA	hypothetical protein
AT1G06150	AT1G06150.1	EMB1444	NA	basic helix loop helix (bHLH) DNA-binding superfamily protein
AT1G06160	AT1G06160.1	ERF59	NA	octadecanoid-responsive AP2/ERF 59
AT1G06170	AT1G06170.1	bHLH089	NA	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G06180	AT1G06180.1	ATMYB13	NA	myb domain protein 13
AT1G06190	AT1G06190.1	RHON1	0.000143	Rho termination factor
AT1G06200	AT1G06200.1	""	0.000247	Peptidase S24/S26A/S26B/S26C family protein
AT1G06210	AT1G06210.1	""	1	ENTH/VHS/GAT family protein
AT1G06220	AT1G06220.2	CLO	0.490394	Ribosomal protein S5/Elongation factor G/III/V family protein
AT1G06225	AT1G06225.1	CLE3	NA	CLAVATA3/ESR-RELATED 3
AT1G06230	AT1G06230.1	GTE4	1	global transcription factor group E4
AT1G06240	AT1G06240.1	""	0.666753	diiron containing four-helix bundle family ferritin protein, putative (Protein of unknown function DUF455)
AT1G06250	AT1G06250.1	""	NA	alpha/beta-Hydrolases superfamily protein
AT1G06260	AT1G06260.1	""	NA	Cysteine proteinases superfamily protein
AT1G06270	AT1G06270.1	""	NA	Pentatricopeptide repeat (PPR) superfamily protein
AT1G06280	AT1G06280.1	LBD2	NA	LOB domain-containing protein 2
AT1G06290	AT1G06290.1	ACX3	1	acyl-CoA oxidase 3
AT1G06310	AT1G06310.1	ACX6	NA	acyl-CoA oxidase 6
AT1G06320	AT1G06320.1	""	NA	hypothetical protein
AT1G06330	AT1G06330.1	""	NA	Heavy metal transport/detoxification superfamily protein
AT1G06340	AT1G06340.1	""	NA	Plant Tudor-like protein
AT1G06350	AT1G06350.1	ADS4	NA	Fatty acid desaturase family protein
AT1G06360	AT1G06360.1	""	NA	Fatty acid desaturase family protein
AT1G06380	AT1G06380.1	""	NA	Ribosomal protein L1p/L10e family
AT1G06390	AT1G06390.1	ATGSK1	1	GSK3/SHAGGY-like protein kinase 1
AT1G06400	AT1G06400.1	ARA-2	NA	Ras-related small GTP-binding family protein
AT1G06410	AT1G06410.1	ATTPS7	1	trehalose-phosphatase/synthase 7
AT1G06420	AT1G06420.1	""	NA	DNA ligase-like protein
AT1G06430	AT1G06430.1	FTSH8	1	FTSH protease 8
AT1G06440	AT1G06440.1	""	NA	Ubiquitin carboxyl-terminal hydrolase family protein
AT1G06450	AT1G06450.1	""	NA	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
AT1G06460	AT1G06460.1	ACD31.2	0.339472	alpha-crystallin domain 32.1
AT1G06470	AT1G06470.1	""	0.774032	Nucleotide/sugar transporter family protein
AT1G06475	AT1G06475.1	""	NA	transmembrane protein
AT1G06490	AT1G06490.1	ATGSL07	NA	glucan synthase-like 7
AT1G06500	AT1G06500.1	""	0.742226	hypothetical protein
AT1G06510	AT1G06510.1	""	0.005522	forkhead-associated domain protein
AT1G06515	AT1G06515.1	ssSPTa	1	transmembrane protein, putative (DUF3317)
AT1G06520	AT1G06520.1	ATGPAT1	NA	glycerol-3-phosphate acyltransferase 1
AT1G06530	AT1G06530.1	PMD2	NA	Tropomyosin-like protein
AT1G06540	AT1G06540.1	""	NA	hypothetical protein
AT1G06550	AT1G06550.1	""	1	ATP-dependent caseinolytic (Clp) protease/crotonase family protein
AT1G06560	AT1G06560.1	AtTRM4f	0.145968	NOL1/NOP2/sun family protein
AT1G06570	AT1G06570.1	HPD	0.956819	4-hydroxyphenylpyruvate dioxygenase
AT1G06580	AT1G06580.1	PPR1	1	Pentatricopeptide repeat (PPR) superfamily protein
AT1G06590	AT1G06590.1	""	0.926248	anaphase-promoting complex subunit
AT1G06620	AT1G06620.1	""	0.418101	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT1G06630	AT1G06630.1	""	1	F-box/RNI-like superfamily protein
AT1G06640	AT1G06640.1	""	1	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT1G06645	AT1G06645.1	""	1	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT1G06650	AT1G06650.2	""	1	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT1G06660	AT1G06660.1	JASON	NA	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit
AT1G06670	AT1G06670.1	NIH	1	nuclear DEIH-boxhelicase
AT1G06680	AT1G06680.1	OE23	1	photosystem II subunit P-1
AT1G06690	AT1G06690.1	""	1	NAD(P)-linked oxidoreductase superfamily protein
AT1G06700	AT1G06700.1	""	0.570919	Protein kinase superfamily protein
AT1G06710	AT1G06710.1	MTSF1	1	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G06720	AT1G06720.1	""	1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G06730	AT1G06730.1	""	NA	pfkB-like carbohydrate kinase family protein
AT1G06740	AT1G06740.1	MUG3	NA	MuDR family transposase
AT1G06750	AT1G06750.2	""	NA	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G06760	AT1G06760.1	H1.1	NA	winged-helix DNA-binding transcription factor family protein
AT1G06770	AT1G06770.1	ATDRIP1	1	DREB2A-interacting protein 1
AT1G06780	AT1G06780.2	GAUT6	0.211365	galacturonosyltransferase 6
AT1G06790	AT1G06790.1	NRPC7	1	RNA polymerase Rpb7 N-terminal domain-containing protein
AT1G06800	AT1G06800.1	DALL4	1	alpha/beta-Hydrolases superfamily protein
AT1G06810	AT1G06810.1	""	NA	endonuclease/glycosyl hydrolase
AT1G06820	AT1G06820.1	CCR2	0.005712	carotenoid isomerase
AT1G06830	AT1G06830.1	CEPD1	NA	Glutaredoxin family protein
AT1G06840	AT1G06840.1	""	1	Leucine-rich repeat protein kinase family protein
AT1G06850	AT1G06850.1	AtbZIP52	1	basic leucine-zipper 52
AT1G06870	AT1G06870.1	Plsp2A	1	Peptidase S24/S26A/S26B/S26C family protein
AT1G06890	AT1G06890.1	UXT3	1	nodulin MtN21 /EamA-like transporter family protein
AT1G06900	AT1G06900.1	""	1	Insulinase (Peptidase family M16) family protein
AT1G06910	AT1G06910.1	TRFL7	1	TRF-like 7
AT1G06920	AT1G06920.1	ATOFP4	NA	ovate family protein 4
AT1G06923	AT1G06923.1	""	NA	transcription repressor OFP17-like protein
AT1G06925	AT1G06925.1	""	NA	endonuclease/glycosyl hydrolase
AT1G06930	AT1G06930.1	""	NA	TPRXL
AT1G06950	AT1G06950.1	ATTIC110	0.00106	translocon at the inner envelope membrane of chloroplasts 110
AT1G06960	AT1G06960.1	U2BL	1	RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G06970	AT1G06970.1	ATCHX14	NA	cation/hydrogen exchanger 14
AT1G06980	AT1G06980.1	""	NA	6,7-dimethyl-8-ribityllumazine synthase
AT1G06990	AT1G06990.1	""	NA	GDSL-like Lipase/Acylhydrolase superfamily protein
AT1G07000	AT1G07000.1	ATEXO70B2	1	exocyst subunit exo70 family protein B2
AT1G07010	AT1G07010.3	AtSLP1	0.000663	Calcineurin-like metallo-phosphoesterase superfamily protein
AT1G07020	AT1G07020.1	""	1	hypothetical protein
AT1G07025	AT1G07025.1	""	NA	Mitochondrial substrate carrier family protein
AT1G07030	AT1G07030.1	""	NA	Mitochondrial substrate carrier family protein
AT1G07040	AT1G07040.1	""	NA	plant/protein
AT1G07050	AT1G07050.1	FITNESS	NA	CCT motif family protein
AT1G07060	AT1G07060.1	ATDFO	NA	hypothetical protein
AT1G07070	AT1G07070.1	""	NA	Ribosomal protein L35Ae family protein
AT1G07080	AT1G07080.1	""	0.063123	Thioredoxin superfamily protein
AT1G07090	AT1G07090.1	LSH6	NA	LIGHT-DEPENDENT SHORT HYPOCOTYLS-like protein (DUF640)
AT1G07110	AT1G07110.1	ATF2KP	0.000197	fructose-2,6-bisphosphatase
AT1G07120	AT1G07120.1	""	1	CHUP1-like protein
AT1G07130	AT1G07130.1	ATSTN1	NA	Nucleic acid-binding, OB-fold-like protein
AT1G07135	AT1G07135.1	""	1	glycine-rich protein
AT1G07140	AT1G07140.1	SIRANBP	0.723403	Pleckstrin homology (PH) domain superfamily protein
AT1G07150	AT1G07150.1	MAPKKK13	NA	mitogen-activated protein kinase kinase kinase 13
AT1G07160	AT1G07160.1	""	NA	Protein phosphatase 2C family protein
AT1G07170	AT1G07170.1	""	1	PHF5-like protein
AT1G07175	AT1G07175.1	""	NA	alternative NAD(P)H dehydrogenase
AT1G07180	AT1G07180.1	ATNDI1	NA	alternative NAD(P)H dehydrogenase 1
AT1G07190	AT1G07190.1	""	NA	Lon protease
AT1G07200	AT1G07200.2	SMXL6	1	Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein
AT1G07210	AT1G07210.1	""	NA	Ribosomal protein S18
AT1G07220	AT1G07220.1	""	0.729746	O-glucosyltransferase rumi-like protein (DUF821)
AT1G07230	AT1G07230.1	NPC1	NA	non-specific phospholipase C1
AT1G07240	AT1G07240.1	UGT71C5	1	UDP-glucosyl transferase 71C5
AT1G07250	AT1G07250.1	UGT71C4	NA	UDP-glucosyl transferase 71C4
AT1G07260	AT1G07260.1	UGT71C3	NA	UDP-glucosyl transferase 71C3
AT1G07270	AT1G07270.1	""	NA	Cell division control, Cdc6
AT1G07280	AT1G07280.1	""	0.452251	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G07290	AT1G07290.1	GONST2	1	golgi nucleotide sugar transporter 2
